"","Year","Value"
"295",190407,-0.55
"296",190408,-0.46
"297",190409,-0.58
"298",190410,-0.45
"299",190411,-0.06
"300",190412,-0.21
"301",190501,-0.41
"302",190502,-0.79
"303",190503,-0.5
"304",190504,-0.62
"305",190505,-0.31
"306",190506,-0.24
"307",190507,-0.14
"308",190508,-0.22
"309",190509,-0.16
"310",190510,-0.29
"311",190511,0.01
"312",190512,-0.18
"313",190601,-0.32
"314",190602,-0.42
"315",190603,-0.14
"316",190604,0.03
"317",190605,-0.22
"318",190606,-0.14
"319",190607,-0.28
"320",190608,-0.19
"321",190609,-0.3
"322",190610,-0.28
"323",190611,-0.37
"324",190612,0.03
"325",190701,-0.36
"326",190702,-0.47
"327",190703,-0.3
"328",190704,-0.39
"329",190705,-0.6
"330",190706,-0.44
"331",190707,-0.44
"332",190708,-0.44
"333",190709,-0.45
"334",190710,-0.35
"335",190711,-0.64
"336",190712,-0.41
"337",190801,-0.31
"338",190802,-0.34
"339",190803,-0.76
"340",190804,-0.55
"341",190805,-0.38
"342",190806,-0.41
"343",190807,-0.45
"344",190808,-0.53
"345",190809,-0.36
"346",190810,-0.6
"347",190811,-0.56
"348",190812,-0.39
"349",190901,-0.61
"350",190902,-0.48
"351",190903,-0.65
"352",190904,-0.62
"353",190905,-0.43
"354",190906,-0.43
"355",190907,-0.43
"356",190908,-0.31
"357",190909,-0.38
"358",190910,-0.38
"359",190911,-0.12
"360",190912,-0.31
"361",191001,-0.19
"362",191002,-0.33
"363",191003,-0.38
"364",191004,-0.32
"365",191005,-0.31
"366",191006,-0.44
"367",191007,-0.37
"368",191008,-0.37
"369",191009,-0.37
"370",191010,-0.38
"371",191011,-0.5
"372",191012,-0.6
"373",191101,-0.54
"374",191102,-0.51
"375",191103,-0.56
"376",191104,-0.48
"377",191105,-0.41
"378",191106,-0.3
"379",191107,-0.47
"380",191108,-0.44
"381",191109,-0.32
"382",191110,-0.35
"383",191111,-0.28
"384",191112,-0.38
"385",191201,-0.42
"386",191202,-0.13
"387",191203,-0.56
"388",191204,-0.28
"389",191205,-0.27
"390",191206,-0.26
"391",191207,-0.4
"392",191208,-0.64
"393",191209,-0.71
"394",191210,-0.73
"395",191211,-0.54
"396",191212,-0.51
"397",191301,-0.47
"398",191302,-0.55
"399",191303,-0.46
"400",191304,-0.45
"401",191305,-0.5
"402",191306,-0.52
"403",191307,-0.54
"404",191308,-0.43
"405",191309,-0.44
"406",191310,-0.4
"407",191311,-0.1
"408",191312,0.06
"409",191401,0.29
"410",191402,-0.09
"411",191403,-0.2
"412",191404,-0.33
"413",191405,-0.19
"414",191406,-0.26
"415",191407,-0.31
"416",191408,-0.26
"417",191409,-0.23
"418",191410,-0.1
"419",191411,-0.2
"420",191412,-0.16
"421",191501,-0.13
"422",191502,-0.03
"423",191503,-0.16
"424",191504,-0.02
"425",191505,-0.09
"426",191506,-0.11
"427",191507,-0.04
"428",191508,-0.07
"429",191509,-0.12
"430",191510,-0.2
"431",191511,0.07
"432",191512,0.09
"433",191601,-0.12
"434",191602,-0.13
"435",191603,-0.39
"436",191604,-0.2
"437",191605,-0.27
"438",191606,-0.4
"439",191607,-0.25
"440",191608,-0.29
"441",191609,-0.35
"442",191610,-0.28
"443",191611,-0.36
"444",191612,-0.71
"445",191701,-0.44
"446",191702,-0.47
"447",191703,-0.53
"448",191704,-0.36
"449",191705,-0.51
"450",191706,-0.37
"451",191707,-0.23
"452",191708,-0.25
"453",191709,-0.14
"454",191710,-0.38
"455",191711,-0.01
"456",191712,-0.74
"457",191801,-0.2
"458",191802,-0.25
"459",191803,-0.11
"460",191804,-0.34
"461",191805,-0.35
"462",191806,-0.26
"463",191807,-0.23
"464",191808,-0.18
"465",191809,-0.16
"466",191810,-0.09
"467",191811,-0.22
"468",191812,-0.5
"469",191901,-0.43
"470",191902,-0.16
"471",191903,-0.34
"472",191904,-0.13
"473",191905,-0.37
"474",191906,-0.35
"475",191907,-0.25
"476",191908,-0.21
"477",191909,-0.14
"478",191910,-0.24
"479",191911,-0.42
"480",191912,-0.39
"481",192001,-0.08
"482",192002,-0.25
"483",192003,-0.02
"484",192004,-0.26
"485",192005,-0.15
"486",192006,-0.25
"487",192007,-0.21
"488",192008,-0.27
"489",192009,-0.29
"490",192010,-0.3
"491",192011,-0.37
"492",192012,-0.53
"493",192101,0.13
"494",192102,-0.1
"495",192103,-0.07
"496",192104,-0.05
"497",192105,-0.11
"498",192106,-0.09
"499",192107,-0.03
"500",192108,-0.2
"501",192109,-0.12
"502",192110,-0.01
"503",192111,-0.21
"504",192112,0
"505",192201,-0.39
"506",192202,-0.38
"507",192203,-0.05
"508",192204,-0.13
"509",192205,-0.16
"510",192206,-0.2
"511",192207,-0.25
"512",192208,-0.27
"513",192209,-0.29
"514",192210,-0.26
"515",192211,-0.18
"516",192212,-0.12
"517",192301,-0.12
"518",192302,-0.52
"519",192303,-0.35
"520",192304,-0.47
"521",192305,-0.27
"522",192306,-0.19
"523",192307,-0.25
"524",192308,-0.25
"525",192309,-0.15
