"","Year","Value"
"1290",198706,0.2
"1291",198707,0.32
"1292",198708,0.33
"1293",198709,0.41
"1294",198710,0.21
"1295",198711,0.13
"1296",198712,0.6
"1297",198801,0.53
"1298",198802,0.27
"1299",198803,0.45
"1300",198804,0.46
"1301",198805,0.37
"1302",198806,0.42
"1303",198807,0.41
"1304",198808,0.27
"1305",198809,0.28
"1306",198810,0.22
"1307",198811,0.19
"1308",198812,0.45
"1309",198901,0.15
"1310",198902,0.32
"1311",198903,0.39
"1312",198904,0.28
"1313",198905,0.27
"1314",198906,0.27
"1315",198907,0.32
"1316",198908,0.28
"1317",198909,0.28
"1318",198910,0.27
"1319",198911,0.18
"1320",198912,0.44
"1321",199001,0.34
"1322",199002,0.43
"1323",199003,1.02
"1324",199004,0.53
"1325",199005,0.41
"1326",199006,0.44
"1327",199007,0.27
"1328",199008,0.34
"1329",199009,0.35
"1330",199010,0.45
"1331",199011,0.5
"1332",199012,0.46
"1333",199101,0.54
"1334",199102,0.53
"1335",199103,0.33
"1336",199104,0.57
"1337",199105,0.32
"1338",199106,0.42
"1339",199107,0.42
"1340",199108,0.35
"1341",199109,0.34
"1342",199110,0.28
"1343",199111,0.3
"1344",199112,0.23
"1345",199201,0.57
"1346",199202,0.45
"1347",199203,0.4
"1348",199204,0.12
"1349",199205,0.2
"1350",199206,0.14
"1351",199207,-0.01
"1352",199208,0.02
"1353",199209,-0.15
"1354",199210,-0.04
"1355",199211,-0.03
"1356",199212,0.27
"1357",199301,0.4
"1358",199302,0.46
"1359",199303,0.44
"1360",199304,0.22
"1361",199305,0.28
"1362",199306,0.24
"1363",199307,0.11
"1364",199308,0.1
"1365",199309,0.02
"1366",199310,0.14
"1367",199311,-0.14
"1368",199312,0.35
"1369",199401,0.26
"1370",199402,-0.1
"1371",199403,0.43
"1372",199404,0.41
"1373",199405,0.35
"1374",199406,0.41
"1375",199407,0.32
"1376",199408,0.35
"1377",199409,0.32
"1378",199410,0.51
"1379",199411,0.52
"1380",199412,0.35
"1381",199501,0.69
"1382",199502,0.96
"1383",199503,0.54
"1384",199504,0.48
"1385",199505,0.33
"1386",199506,0.51
"1387",199507,0.42
"1388",199508,0.57
"1389",199509,0.38
"1390",199510,0.53
"1391",199511,0.51
"1392",199512,0.42
"1393",199601,0.22
"1394",199602,0.52
"1395",199603,0.22
"1396",199604,0.17
"1397",199605,0.38
"1398",199606,0.32
"1399",199607,0.33
"1400",199608,0.27
"1401",199609,0.19
"1402",199610,0.08
"1403",199611,0.18
"1404",199612,0.37
"1405",199701,0.42
"1406",199702,0.52
"1407",199703,0.57
"1408",199704,0.52
"1409",199705,0.44
"1410",199706,0.54
"1411",199707,0.52
"1412",199708,0.54
"1413",199709,0.6
"1414",199710,0.66
"1415",199711,0.54
"1416",199712,0.58
"1417",199801,0.56
"1418",199802,1.07
"1419",199803,0.63
"1420",199804,0.82
"1421",199805,0.67
"1422",199806,0.7
"1423",199807,0.8
"1424",199808,0.76
"1425",199809,0.58
"1426",199810,0.5
"1427",199811,0.36
"1428",199812,0.72
"1429",199901,0.59
"1430",199902,0.95
"1431",199903,0.26
"1432",199904,0.56
"1433",199905,0.44
"1434",199906,0.43
"1435",199907,0.43
"1436",199908,0.39
"1437",199909,0.41
"1438",199910,0.43
"1439",199911,0.44
"1440",199912,0.78
"1441",200001,0.34
"1442",200002,0.69
"1443",200003,0.73
"1444",200004,0.84
"1445",200005,0.63
"1446",200006,0.46
"1447",200007,0.47
"1448",200008,0.54
"1449",200009,0.44
"1450",200010,0.24
"1451",200011,0.14
"1452",200012,0.24
"1453",200101,0.48
"1454",200102,0.33
"1455",200103,0.79
"1456",200104,0.61
"1457",200105,0.71
"1458",200106,0.58
"1459",200107,0.64
"1460",200108,0.69
"1461",200109,0.54
"1462",200110,0.54
"1463",200111,0.9
"1464",200112,0.56
"1465",200201,0.9
"1466",200202,1.09
"1467",200203,0.96
"1468",200204,0.52
"1469",200205,0.51
"1470",200206,0.67
"1471",200207,0.7
"1472",200208,0.55
"1473",200209,0.6
"1474",200210,0.38
"1475",200211,0.67
"1476",200212,0.36
"1477",200301,0.81
"1478",200302,0.52
"1479",200303,0.57
"1480",200304,0.57
"1481",200305,0.68
"1482",200306,0.54
"1483",200307,0.59
"1484",200308,0.8
"1485",200309,0.75
"1486",200310,0.9
"1487",200311,0.61
"1488",200312,0.95
"1489",200401,0.68
"1490",200402,0.89
"1491",200403,0.86
"1492",200404,0.66
"1493",200405,0.51
"1494",200406,0.51
"1495",200407,0.56
"1496",200408,0.57
"1497",200409,0.61
"1498",200410,0.66
"1499",200411,0.97
"1500",200412,0.49
"1501",200501,0.74
"1502",200502,0.49
"1503",200503,0.82
"1504",200504,0.89
"1505",200505,0.76
"1506",200506,0.77
"1507",200507,0.78
"1508",200508,0.71
"1509",200509,0.87
"1510",200510,0.84
"1511",200511,0.94
"1512",200512,0.75
"1513",200601,0.4
"1514",200602,0.72
"1515",200603,0.7
"1516",200604,0.55
"1517",200605,0.69
"1518",200606,0.79
"1519",200607,0.69
"1520",200608,0.73
"1521",200609,0.75
"1522",200610,0.82
"1523",200611,0.76
"1524",200612,1.02
"1525",200701,1.23
"1526",200702,0.75
"1527",200703,0.84
"1528",200704,0.92
"1529",200705,0.71
"1530",200706,0.65
"1531",200707,0.62
"1532",200708,0.69
"1533",200709,0.65
"1534",200710,0.69
"1535",200711,0.7
"1536",200712,0.66
"1537",200801,0.21
"1538",200802,0.42
"1539",200803,1.13
"1540",200804,0.61
"1541",200805,0.58
"1542",200806,0.66
"1543",200807,0.63
"1544",200808,0.64
"1545",200809,0.58
"1546",200810,0.81
"1547",200811,0.85
"1548",200812,0.6
"1549",200901,0.7
"1550",200902,0.65
"1551",200903,0.62
"1552",200904,0.72
"1553",200905,0.58
"1554",200906,0.71
"1555",200907,0.67
"1556",200908,0.71
"1557",200909,0.8
"1558",200910,0.69
"1559",200911,0.65
"1560",200912,0.56
"1561",201001,0.71
"1562",201002,0.72
"1563",201003,0.97
"1564",201004,0.95
"1565",201005,0.86
"1566",201006,0.86
"1567",201007,0.9
"1568",201008,0.84
"1569",201009,0.64
"1570",201010,0.77
"1571",201011,1.07
"1572",201012,0.53
"1573",201101,0.46
"1574",201102,0.51
"1575",201103,0.68
"1576",201104,0.8
"1577",201105,0.64
"1578",201106,0.75
"1579",201107,0.72
"1580",201108,0.7
"1581",201109,0.68
"1582",201110,0.8
"1583",201111,0.51
"1584",201112,0.7
"1585",201201,0.43
"1586",201202,0.38
"1587",201203,0.59
"1588",201204,0.95
"1589",201205,0.89
"1590",201206,0.87
"1591",201207,0.86
"1592",201208,0.74
"1593",201209,0.81
"1594",201210,0.76
"1595",201211,0.79
"1596",201212,0.35
"1597",201301,0.62
"1598",201302,0.71
"1599",201303,0.72
"1600",201304,0.58
"1601",201305,0.8
"1602",201306,0.78
"1603",201307,0.72
"1604",201308,0.75
"1605",201309,0.74
"1606",201310,0.75
"1607",201311,1.03
"1608",201312,0.78
"1609",201401,0.81
"1610",201402,0.45
"1611",201403,0.96
"1612",201404,0.96
"1613",201405,0.87
"1614",201406,0.89
"1615",201407,0.82
"1616",201408,0.98
"1617",201409,0.89
"1618",201410,0.86
"1619",201411,0.75
"1620",201412,1.03
